Id Centro -5	CAP_NOMBRE     Provincia	Total
23826	La Estación (Guadix)	Granada	1
23827	Barriada de Andalucía (Guadix)	Granada	1
23828	Trasmulas	Granada	1
23829	Valderrubio	Granada	1
23830	Zujaira	Granada	1
23831	Bogarre	Granada	1
23832	Píñar	Granada	1
23833	Polícar	Granada	1
23834	La Mamola	Granada	1
23835	Polopos	Granada	1
23836	Pórtugos	Granada	1
23837	Almaciles	Granada	1
23838	Puebla de Don Fadrique	Granada	1
23839	Pulianas	Granada	1
23840	Pampaneira	Granada	1
23841	Pedro Martínez	Granada	1
23842	Peligros	Granada	1
23843	Los Villares	Granada	1
23844	Pinos del Genil	Granada	1
23845	Casanueva	Granada	1
23846	Fuensanta	Granada	1
23847	Pinos Puente	Granada	1
23848	Orce	Granada	1
23849	Alcázar	Granada	1
23850	Órgiva 'D. Baldomero Villanueva'	Granada	1
23851	Tablones	Granada	1
23852	Otívar	Granada	1
23853	Otura	Granada	1
23854	Padul	Granada	1
23855	Motril-Centro	Granada	1
23856	Motril-Este	Granada	1
23857	Motril-San Antonio	Granada	1
23858	Torrenueva	Granada	1
23859	Carchuna	Granada	1
23860	El Puntalón	Granada	1
23861	Cojáyar	Granada	1
23862	Las Cabezas de San Juan	Sevilla	1
23863	Las Marismillas	Sevilla	1
23864	Camas	Sevilla	1
23865	La Pañoleta	Sevilla	1
23866	Coca de la Piñera	Sevilla	1
23867	El Carambolo	Sevilla	1
23868	La Campana	Sevilla	1
23869	Cantillana 'D. Manuel Marroco Quevedo'	Sevilla	1
23870	Carmona 'Ntra. Sra. de Gracia'	Sevilla	1
23871	Corcoya	Sevilla	1
23872	Benacazón	Sevilla	1
23873	Bollullos de la Mitación	Sevilla	1
23874	Bormujos	Sevilla	1
23875	Brenes	Sevilla	1
23876	Burguillos	Sevilla	1
23877	Aznalcázar 'Matrona Dª Isabel Virosta Clemente'	Sevilla	1
23878	Aznalcóllar	Sevilla	1
23879	Badolatosa	Sevilla	1
23880	Almadén de la Plata	Sevilla	1
23881	Almensilla	Sevilla	1
23882	Arahal	Sevilla	1
23883	Algámitas	Sevilla	1
23884	Alcalá de Guadaira 'Don Paulino García Donas'	Sevilla	1
23885	Campo las Beatas	Sevilla	1
23886	Ntra.Sra. de la Oliva	Sevilla	1
23887	Alcalá del Rio	Sevilla	1
23888	Esquivel	Sevilla	1
23889	San Ignacio del Viar	Sevilla	1
23890	El Viar	Sevilla	1
23891	Estepa	Sevilla	1
23892	Montequinto	Sevilla	1
23893	Cerro Perea	Sevilla	1
23894	Ecija 'El Almorrón'	Sevilla	1
23895	Ecija 'Virgen del Valle'	Sevilla	1
23896	Isla Redonda	Sevilla	1
23897	Espartinas	Sevilla	1
23898	Dos Hermanas Doña Mercedes	Sevilla	1
23899	San Hilario	Sevilla	1
23900	Santa Ana (Dos Hermanas C)	Sevilla	1
23901	Fuente del Rey	Sevilla	1
23903	Constantina	Sevilla	1
23904	Virgen de la Estrella	Sevilla	1
23905	Coripe	Sevilla	1
23906	El Coronil 'Don Julio Borreguero'	Sevilla	1
23907	Los Corrales	Sevilla	1
23908	Castillo de las Guardas	Sevilla	1
23909	Cazalla de la Sierra	Sevilla	1
23910	Carrión de los Céspedes 'D. Manuel Moreno Peralta'	Sevilla	1
23911	Casariche	Sevilla	1
23912	Castilblanco de los Arroyos	Sevilla	1
23913	Castilleja de Guzmán	Sevilla	1
23914	Castilleja de la Cuesta	Sevilla	1
23915	Castilleja del Campo	Sevilla	1
23916	Guadajoz	Sevilla	1
23917	Marchena 'Ricardo Martínez Sánchez'	Sevilla	1
23918	Marinaleda	Sevilla	1
23919	Matarredonda	Sevilla	1
23920	Martín de la Jara	Sevilla	1
23921	Los Molares	Sevilla	1
23922	Mairena del Alcor	Sevilla	1
23923	Mairena del Aljarafe	Sevilla	1
23924	Montellano	Sevilla	1
23925	Morón ' San Francisco'	Sevilla	1
23926	Aguadulce	Sevilla	1
23927	Alanís	Sevilla	1
23928	Albaida del Aljarafe	Sevilla	1
23929	Lora del Rio 'Virgen de Setefilla'	Sevilla	1
23930	El Priorato	Sevilla	1
23931	Campillo	Sevilla	1
23932	La Luisiana	Sevilla	1
23936	El Madroño	Sevilla	1
23938	Huévar	Sevilla	1
23939	La Lantejuela	Sevilla	1
23940	Lebrija 'Ntra. Sra. del Castillo'	Sevilla	1
23941	Lora de Estepa	Sevilla	1
23942	Guillena 'Dr. Correa Charro'	Sevilla	1
