15 04 2010 11:59:12 Consulta de municipio de Centros Sanitarios, realizada a la web del SAS el 15 04 2010 11:59:40
Datos provenientes del archivo: centros-SAS-consultar.txt
__Id Centro__Municipio_
Id;no encontrado!
23828;Pinos-Puente
23829;Pinos-Puente
23830;Pinos-Puente
23831;Píñar
23832;Píñar
23833;Polícar
23834;Polopos
23835;Polopos
23836;Pórtugos
23837;Puebla de Don Fadrique
23838;Puebla de Don Fadrique
23839;Pulianas
23840;Pampaneira
23841;Pedro Martínez
23842;Peligros
23843;Peza, La
23844;Pinos-Genil
23845;Pinos-Puente
23846;Pinos-Puente
23847;Pinos-Puente
23848;Orce
23849;Órgiva
23850;Órgiva
23851;Órgiva
23852;Otívar
23853;Otura
23854;Padul
23855;Motril
23856;Motril
23857;Motril
23858;Motril
23859;Motril
23860;Motril
23861;Murtas
23862;Cabezas de San Juan, Las
23863;Cabezas de San Juan, Las
23864;Camas
23865;Camas
23866;Camas
23867;Camas
23868;Campana, La
23869;Cantillana
23870;Carmona
23871;Badolatosa
23872;Benacazón
23873;Bollullos de la Mitación
23874;Bormujos
23875;Brenes
23876;Burguillos
23877;Aznalcázar
23878;Aznalcóllar
23879;Badolatosa
23880;Almadén de la Plata
23881;Almensilla
23882;Arahal, El
23883;Algámitas
23884;Alcalá de Guadaira
23885;Alcalá de Guadaira
23886;Alcalá de Guadaira
23887;Alcalá del Río
23888;Alcalá del Río
23889;Alcalá del Río
23890;Alcalá del Río
23891;Estepa
23892;Dos Hermanas
23893;Ecija
23894;Ecija
23895;Ecija
23896;Ecija
23897;Espartinas
23898;Dos Hermanas
23899;Dos Hermanas
23900;Dos Hermanas
23901;Dos Hermanas
23903;Constantina
23904;Coria del Río
23905;Coripe
23906;Coronil, El
23907;Corrales, Los
23908;Castillo de las Guardas, El
23909;Cazalla de la Sierra
23910;Carrión de los Céspedes
23911;Casariche
23912;Castilblanco de los Arroyos
23913;Castilleja de Guzmán
23914;Castilleja de la Cuesta
23915;Castilleja del Campo
23916;Carmona
23917;Marchena
23918;Marinaleda
23919;Marinaleda
23920;Martín de la Jara
23921;Molares, Los
23922;Mairena del Alcor
23923;Mairena del Aljarafe
23924;Montellano
23925;Morón de la Frontera
23926;Aguadulce
23927;Alanís
23928;Albaida del Aljarafe
23929;Lora del Río
23930;Lora del Río
23931;Luisiana, La
23932;Luisiana, La
23936;Madroño, El
23938;Huévar
23939;Lantejuela, La
23940;Lebrija
23941;Lora de Estepa
23942;Guillena
23943;Guillena
23944;Guillena
23945;Herrera
23946;Fuentes de Andalucía
23947;Garrobo, El
23948;Gelves
23949;Gerena
23950;Gilena
23951;Gines
23952;Guadalcanal
23953;Faraján
23954;Frigiliana
23955;Periana
23956;Periana
23957;Pizarra
23958;Antequera
23959;Antequera
23960;Archez
23961;Archidona
23962;Archidona
23963;Archidona
23964;Ardales
23965;Arenas
23966;Arenas
23967;Alozaina
23968;Alpandeire
23969;Antequera
23970;Antequera
23971;Antequera
23972;Antequera
23973;Antequera
23974;Alora
23975;Almáchar
23976;Almargen
23977;Almogía
23978;Moclinejo
23979;Canillas de Albaida
23980;Cañete la Real
23981;Carratraca
23982;Cartajima
23983;Cártama
23984;Cártama
23985;Canillas de Aceituno
23986;Benaoján
23987;Benarrabá
23988;Borge, El
23989;Burgo, El
23990;Campillos
23991;Canillas de Aceituno
23992;Benalmádena
23993;Benamargosa
23994;Benamocarra
23995;Benadalid
23996;Benahavís
23997;Benalauría
23998;Benalmádena
23999;Arriate
24000;Atajate
24001;Igualeja
24002;Istán
24003;Iznate
24004;Jimera de Líbar
24005;Jubrique
24006;Júzcar
24007;Macharaviaya
24008;Macharaviaya
24009;Málaga
24010;Málaga
24011;Fuengirola
24012;Fuengirola
24013;Fuente de Piedra
24014;Gaucín
24015;Genalguacil
24016;Guaro
24017;Humilladero
24019;Estepona
24020;Estepona
24021;Cuevas del Becerro
24022;Cuevas de San Marcos
24023;Cútar
24024;Cómpeta
24025;Cortes de la Frontera
24026;Cortes de la Frontera
24027;Cortes de la Frontera
24028;Cuevas Bajas
24029;Comares
24030;Colmenar
24031;Casabermeja
24032;Casarabonela
24033;Casares
24034;Coín
24035;Canillas de Aceituno
24036;Ibros
24037;Iruela, La
24038;Iruela, La
24039;Iznatoraf
24040;Jabalquinto
24041;Jaén
24043;Higuera de Arjona
24044;Higuera de Calatrava
24045;Hinojares
24046;Hornos
24047;Hornos
24048;Huelma
24049;Huelma
24050;Huesa
24051;Fuensanta de Martos
24052;Fuerte del Rey
24053;Génave
24054;Guardia de Jaén, La
24055;Guarromán
24056;Espeluy
24057;Espeluy
24058;Frailes
24059;Cazorla
24060;Cazorla
24061;Chiclana de Segura
24062;Chiclana de Segura
24063;Chiclana de Segura
24064;Chilluévar
24065;Escañuela
24066;Carolina, La
24067;Castellar
24068;Castillo de Locubín
24069;Castillo de Locubín
24070;Santisteban del Puerto
24071;Santo Tomé
24072;Segura de la Sierra
24073;Quesada
24074;Quesada
24075;Quesada
24076;Peal de Becerro
24077;Pegalajar
24078;Porcuna
24079;Pozo Alcón
24080;Pozo Alcón
24081;Puente de Génave
24082;Puente de Génave
24083;Puerta de Segura, La
24084;Puerta de Segura, La
24085;Montizón
24086;Montizón
24087;Montizón
24088;Navas de San Juan
24089;Noalejo
24090;Noalejo
24091;Orcera
24092;Peal de Becerro
24093;Peal de Becerro
24094;Lopera
24095;Lupión
24096;Lupión
24097;Mancha Real
24098;Mancha Real
24099;Marmolejo
24100;Martos
24101;Martos
24102;Martos
24103;Martos
24104;Mengíbar
24105;Jaén
24106;Jaén
24107;Jaén
24108;Jaén
24109;Jaén
24110;Jaén
24111;Jamilena
24112;Jimena
24113;Baeza
24114;Jódar
24115;Larva
24116;Linares
24117;Linares
24118;Linares
24119;Linares
24120;Santiago-Pontones
24121;Santiago-Pontones
24122;Villatorres
24123;Villatorres
24124;Villatorres
24125;Santiago-Pontones
24126;Villacarrillo
24127;Villanueva de la Reina
24128;Villanueva de la Reina
24129;Villanueva del Arzobispo
24130;Villardompardo
24131;Villares, Los
24132;Villarrodrigo
24133;Villarrodrigo
24134;Cárcheles, Los
24135;Cárcheles, Los
24136;Bedmar y Garcíez
24137;Bedmar y Garcíez
24138;Úbeda
24139;Úbeda
24140;Valdepeñas de Jaén
24141;Torreblascopedro
24142;Vilches
24143;Vilches
24144;Villacarrillo
24145;Villacarrillo
24146;Villacarrillo
24147;Torreblascopedro
24148;Torredelcampo
24149;Torredonjimeno
24150;Torreperogil
24151;Torres
24152;Torres de Albanchez
24153;Úbeda
24154;Úbeda
24155;Úbeda
24156;Segura de la Sierra
24157;Segura de la Sierra
24158;Segura de la Sierra
24159;Segura de la Sierra
24160;Segura de la Sierra
24161;Segura de la Sierra
24162;Siles
24163;Sorihuela del Guadalimar
24164;Torreblascopedro
24165;Rus
24166;Rus
24167;Sabiote
24168;Santa Elena
24169;Santiago de Calatrava
24170;Alcaudete
24171;Alcaudete
24172;Aldeaquemada
24173;Andújar
24174;Andújar
24175;Andújar
24176;Andújar
24177;Andújar
24178;Andújar
24179;Arjona
24180;Alcalá la Real
24181;Alcalá la Real
24182;Alcalá la Real
24183;Alcalá la Real
24184;Alcaudete
24185;Alcaudete
24186;Jimena
24187;Alcalá la Real
