15 04 2010 11:59:12 Consulta de municipio de Centros Sanitarios, realizada a la web del SAS el 15 04 2010 11:59:40
Datos provenientes del archivo: centros-SAS-consultar.txt
__Id Centro__Municipio_
Id;no encontrado!
25011;Sevilla
25012;Sevilla
25013;Sevilla
25014;Sevilla
25015;Sevilla
25016;Sevilla
25017;Sevilla
25018;Sevilla
25019;Sevilla
25020;Sevilla
25021;Sevilla
25022;Sevilla
25023;Sevilla
25024;Sevilla
25025;Sevilla
25026;Sevilla
25028;Sevilla
25030;Sevilla
25032;Sevilla
25033;Sevilla
25034;Sevilla
25035;Sevilla
25036;Sevilla
25037;Tocina
25038;Tocina
25039;Tomares
25040;Umbrete
25041;Utrera
25042;Ronquillo, El
25043;Rubio, El
25044;Salteras
25045;San Juan de Aznalfarache
25046;Sanlúcar la Mayor
25047;Rinconada, La
25048;Rinconada, La
25049;Roda de Andalucía, La
25050;Paradas
25051;Pedrera
25052;Pedroso, El
25053;Peñaflor
25054;Pilas
25055;Pruna
25056;Puebla de Cazalla, La
25057;Puebla de los Infantes, La
25058;Puebla del Río, La
25059;Real de la Jara, El
25227;Santiago-Pontones
25230;Jerez de la Frontera
25236;Córdoba
25237;Sevilla
25239;Marmolejo
25240;Roquetas de Mar
25241;Ejido, El
25242;Morón de la Frontera
25248;Albox
25249;Albox
25250;Oria
25251;Berja
25252;Lubrín
25253;Laujar de Andarax
25254;Lubrín
25255;Níjar
25256;Lubrín
25257;Lubrín
25258;Mojácar
25259;Vélez Rubio
25260;Huércal de Almería
25261;Lubrín
25262;Lubrín
25263;Lubrín
25264;Puerto de Santa María, El
25265;Fuente Palmera
25266;Hinojosa del Duque
25267;Gor
25268;Gor
25269;Jete
25270;Peza, La
25271;Huéneja
25273;Segura de la Sierra
25277;Martos
25329;Puerto de Santa María, El
25330;Puerto de Santa María, El
25340;Vejer de la Frontera
25341;Vejer de la Frontera
25342;Medina-Sidonia
25347;Huelva
25348;Baza
25349;Carolina, La
25350;Níjar
25351;Alquife
25352;Huelva
25353;Alcalá la Real
25354;Jaén
25355;Sevilla
25356;Lecrín
25357;Lecrín
25358;Sevilla
25359;Villafranco del Guadalquivir
25360;Cardeña
25361;Minas de Riotinto
25362;Moraleda de Zafayona
25363;Córdoba
25389;Jerez de la Frontera
25390;Jerez de la Frontera
25391;Dos Hermanas
25392;Dos Hermanas
25393;Atarfe
25394;Castilléjar
25397;Quesada
25398;Motril
25399;Almería
25400;Roquetas de Mar
25402;Lucena
25403;Humilladero
25404;Cuevas del Campo
25405;Benalmádena
25407;Algeciras
25408;Estepona
25409;Granada
25410;Granada
25411;Úbeda
25412;San Fernando
25413;Alcalá la Real
25414;Alcalá la Real
25415;Andújar
25416;Puente Genil
25417;Alcalá la Real
25418;Córdoba
25419;Punta Umbría
25424;Rute
25425;Vícar
25426;Vícar
25427;Palacios y Villafranca, Los
25428;Iruela, La
25429;Sevilla
25430;Barbate
25431;Algeciras
25432;Coria del Río
25433;Málaga
25434;Gallardos, Los
25435;Málaga
25454;Sevilla
25455;Granada
25456;Almonaster la Real
25457;Castellar de la Frontera
25458;Puerto Real
25459;Rinconada, La
25472;Almería
25474;Málaga
25475;Cañete la Real
25478;Málaga
25479;Vera
25480;Montillana
25481;Antequera
25482;Pinar, El
25483;Chipiona
25484;Sevilla
25485;Sevilla
25486;Arcos de la Frontera
25487;Ronda
25515;Hinojares
25518;Málaga
25519;Sevilla
25534;Sevilla
25544;Linares
25545;Córdoba
25546;Almería

Se consultaron 1518 establecimientos de AP.

15 04 2010 12:12:42
